Order_ID,Customer_ID,Employee_ID,Order_Date,Order_Time,Payment_Method,Order_Type,Month,Day,Year,Weekend,Order_Detail_ID,Item_ID,Quantity,Item_Name,Category,Cost_Price,Selling_Price,Name,Gender,Age,City,Member,Employee_Name,Shift,Revenue,Cost,Profit
O00001,C004,E03,2025-04-16,16:18,UPI,Takeaway,April,Wednesday,2025,False,1,1007,3,Masala Tea,Tea,105,199,Ishita Sharma,Female,41,Alwar,Yes,Rahul,Morning,597,315,282
O00001,C004,E03,2025-04-16,16:18,UPI,Takeaway,April,Wednesday,2025,False,2,1002,3,Americano,Coffee,33,167,Ishita Sharma,Female,41,Alwar,Yes,Rahul,Morning,501,99,402
O00002,C081,E02,2025-06-01,12:49,UPI,Takeaway,June,Sunday,2025,True,3,1004,1,Latte,Coffee,58,115,Aarav Meena,Male,25,Udaipur,Yes,Pooja,Morning,115,58,57
O00002,C081,E02,2025-06-01,12:49,UPI,Takeaway,June,Sunday,2025,True,4,1013,2,Veg Sandwich,Food,113,242,Aarav Meena,Male,25,Udaipur,Yes,Pooja,Morning,484,226,258
O00002,C081,E02,2025-06-01,12:49,UPI,Takeaway,June,Sunday,2025,True,5,1010,3,Brownie,Dessert,59,163,Aarav Meena,Male,25,Udaipur,Yes,Pooja,Morning,489,177,312
O00003,C085,E03,2025-03-20,07:36,UPI,Takeaway,March,Thursday,2025,False,6,1014,2,Paneer Sandwich,Food,99,192,Vikas Gupta,Male,36,Ajmer,No,Rahul,Morning,384,198,186
O00004,C056,E03,2025-01-20,13:06,UPI,Takeaway,January,Monday,2025,False,7,1005,3,Mocha,Coffee,43,169,Rohan Sharma,Male,52,Jaipur,No,Rahul,Morning,507,129,378
O00004,C056,E03,2025-01-20,13:06,UPI,Takeaway,January,Monday,2025,False,8,1007,3,Masala Tea,Tea,105,199,Rohan Sharma,Male,52,Jaipur,No,Rahul,Morning,597,315,282
O00004,C056,E03,2025-01-20,13:06,UPI,Takeaway,January,Monday,2025,False,9,1003,3,Cappuccino,Coffee,65,136,Rohan Sharma,Male,52,Jaipur,No,Rahul,Morning,408,195,213
O00005,C079,E05,2025-02-19,12:00,Cash,Takeaway,February,Wednesday,2025,False,10,1009,1,Lemon Tea,Tea,41,108,Ishita Gupta,Female,33,Ajmer,Yes,Karan,Morning,108,41,67
O00005,C079,E05,2025-02-19,12:00,Cash,Takeaway,February,Wednesday,2025,False,11,1006,1,Flat White,Coffee,99,150,Ishita Gupta,Female,33,Ajmer,Yes,Karan,Morning,150,99,51
O00006,C058,E02,2025-02-21,02:39,Cash,Takeaway,February,Friday,2025,False,12,1001,2,Espresso,Coffee,111,165,Vikas Singh,Male,40,Ajmer,Yes,Pooja,Morning,330,222,108
O00006,C058,E02,2025-02-21,02:39,Cash,Takeaway,February,Friday,2025,False,13,1008,1,Green Tea,Tea,34,77,Vikas Singh,Male,40,Ajmer,Yes,Pooja,Morning,77,34,43
O00007,C028,E03,2025-03-31,02:08,Cash,Takeaway,March,Monday,2025,False,14,1009,1,Lemon Tea,Tea,41,108,Yash Meena,Male,55,Ajmer,Yes,Rahul,Morning,108,41,67
O00007,C028,E03,2025-03-31,02:08,Cash,Takeaway,March,Monday,2025,False,15,1016,3,Burger,Food,105,180,Yash Meena,Male,55,Ajmer,Yes,Rahul,Morning,540,315,225
O00008,C025,E01,2025-06-22,22:08,UPI,Takeaway,June,Sunday,2025,True,16,1008,2,Green Tea,Tea,34,77,Simran Meena,Female,31,Alwar,Yes,Amit,Morning,154,68,86
O00008,C025,E01,2025-06-22,22:08,UPI,Takeaway,June,Sunday,2025,True,17,1012,3,Muffin,Dessert,101,166,Simran Meena,Female,31,Alwar,Yes,Amit,Morning,498,303,195
O00009,C063,E04,2025-05-10,22:05,Cash,Dine In,May,Saturday,2025,True,18,1008,3,Green Tea,Tea,34,77,Ananya Verma,Male,30,Udaipur,No,Sneha,Evening,231,102,129
O00009,C063,E04,2025-05-10,22:05,Cash,Dine In,May,Saturday,2025,True,19,1007,1,Masala Tea,Tea,105,199,Ananya Verma,Male,30,Udaipur,No,Sneha,Evening,199,105,94
O00010,C085,E05,2025-02-26,01:50,UPI,Takeaway,February,Wednesday,2025,False,20,1011,3,Cheesecake,Dessert,107,150,Vikas Gupta,Male,36,Ajmer,No,Karan,Morning,450,321,129
O00010,C085,E05,2025-02-26,01:50,UPI,Takeaway,February,Wednesday,2025,False,21,1006,2,Flat White,Coffee,99,150,Vikas Gupta,Male,36,Ajmer,No,Karan,Morning,300,198,102
O00011,C040,E03,2025-02-19,15:39,UPI,Dine In,February,Wednesday,2025,False,22,1004,3,Latte,Coffee,58,115,Priya Verma,Female,31,Jaipur,Yes,Rahul,Morning,345,174,171
O00011,C040,E03,2025-02-19,15:39,UPI,Dine In,February,Wednesday,2025,False,23,1012,3,Muffin,Dessert,101,166,Priya Verma,Female,31,Jaipur,Yes,Rahul,Morning,498,303,195
O00012,C025,E02,2025-02-04,00:55,Cash,Takeaway,February,Tuesday,2025,False,24,1010,1,Brownie,Dessert,59,163,Simran Meena,Female,31,Alwar,Yes,Pooja,Morning,163,59,104
O00012,C025,E02,2025-02-04,00:55,Cash,Takeaway,February,Tuesday,2025,False,25,1002,2,Americano,Coffee,33,167,Simran Meena,Female,31,Alwar,Yes,Pooja,Morning,334,66,268
O00012,C025,E02,2025-02-04,00:55,Cash,Takeaway,February,Tuesday,2025,False,26,1014,1,Paneer Sandwich,Food,99,192,Simran Meena,Female,31,Alwar,Yes,Pooja,Morning,192,99,93
O00013,C023,E03,2025-03-08,00:42,UPI,Dine In,March,Saturday,2025,True,27,1002,3,Americano,Coffee,33,167,Rohan Joshi,Female,22,Alwar,Yes,Rahul,Morning,501,99,402
O00013,C023,E03,2025-03-08,00:42,UPI,Dine In,March,Saturday,2025,True,28,1001,2,Espresso,Coffee,111,165,Rohan Joshi,Female,22,Alwar,Yes,Rahul,Morning,330,222,108
O00014,C017,E04,2025-05-08,07:03,UPI,Dine In,May,Thursday,2025,False,29,1010,2,Brownie,Dessert,59,163,Simran Singh,Female,25,Kota,No,Sneha,Evening,326,118,208
O00014,C017,E04,2025-05-08,07:03,UPI,Dine In,May,Thursday,2025,False,30,1008,2,Green Tea,Tea,34,77,Simran Singh,Female,25,Kota,No,Sneha,Evening,154,68,86
O00014,C017,E04,2025-05-08,07:03,UPI,Dine In,May,Thursday,2025,False,31,1015,1,Pasta,Food,58,155,Simran Singh,Female,25,Kota,No,Sneha,Evening,155,58,97
O00015,C007,E03,2025-06-26,02:19,Card,Takeaway,June,Thursday,2025,False,32,1003,2,Cappuccino,Coffee,65,136,Neha Singh,Male,35,Jaipur,Yes,Rahul,Morning,272,130,142
O00016,C010,E05,2025-03-31,20:28,UPI,Dine In,March,Monday,2025,False,33,1005,3,Mocha,Coffee,43,169,Aarav Singh,Female,35,Jaipur,Yes,Karan,Morning,507,129,378
O00017,C039,E01,2025-06-23,02:47,Card,Dine In,June,Monday,2025,False,34,1014,3,Paneer Sandwich,Food,99,192,Ishita Singh,Female,36,Udaipur,No,Amit,Morning,576,297,279
O00017,C039,E01,2025-06-23,02:47,Card,Dine In,June,Monday,2025,False,35,1010,1,Brownie,Dessert,59,163,Ishita Singh,Female,36,Udaipur,No,Amit,Morning,163,59,104
O00017,C039,E01,2025-06-23,02:47,Card,Dine In,June,Monday,2025,False,36,1015,3,Pasta,Food,58,155,Ishita Singh,Female,36,Udaipur,No,Amit,Morning,465,174,291
O00018,C058,E04,2025-03-11,13:53,UPI,Takeaway,March,Tuesday,2025,False,37,1002,3,Americano,Coffee,33,167,Vikas Singh,Male,40,Ajmer,Yes,Sneha,Evening,501,99,402
O00018,C058,E04,2025-03-11,13:53,UPI,Takeaway,March,Tuesday,2025,False,38,1010,1,Brownie,Dessert,59,163,Vikas Singh,Male,40,Ajmer,Yes,Sneha,Evening,163,59,104
